Código,Nome,Enderezo,Concello,Provincia,Cód. postal,Teléfono,Tipo de centro,COORDENADA_X,COORDENADA_Y,TITULARIDADE,ENSINO_CONCERTADO,DEPENDENTE
15027721,IES Plurilingüe de Ames,"Rúa Peregrina, s/n (Bertamirans)",Ames,A Coruña,15220,881866729,IES,42.8681182861328,-8.65832328796387,Pública,Non,Si
15027733,IES de Arzúa,Rúa do Castro s/n,Arzúa,A Coruña,15810,881866047,IES,42.9298248291016,-8.15536403656006,Pública,Non,Si
15027745,CEE A Barcia,A Barcia s/n,Santiago de Compostela,A Coruña,15896,981537401,CEE,42.87646484375,-8.58795642852783,Pública,Non,Si
15027757,CEEPR Aspanaes,Rúa O CATECISMO 7,A Coruña,A Coruña,15008,981293552,CEEPR,43.3304672241211,-8.40659332275391,Privada,Si,Non
15027769,EMUSPR de Calo -Teo,Rebordelo s/n,Teo,A Coruña,15895,981548379,EMUSPR,42.8253517150879,-8.59312248229981,Privada,Non,Non
15027770,IES A Sardiñeira,Avenida da Sardiñeira 41,A Coruña,A Coruña,15008,881960150,IES,43.349910736084,-8.41621971130371,Pública,Non,Si
15027782,IES Ordes,Rúa Mestre Nicolas del Rio s/n,Ordes,A Coruña,15680,881960334,IES,43.0740242004395,-8.40311908721924,Pública,Non,Si
15027800,CIFP Imaxe e Son,Rúa Someso 6,A Coruña,A Coruña,15008,981173181,CIFP,43.3382377624512,-8.41385364532471,Pública,Non,Si
15027812,ESCO Oficial Náutico-Pesqueira,Rúa dos Estudantes 7,Ribeira,A Coruña,15960,881866317,ESCO,42.569580078125,-8.98007869720459,Pública,Non,Non
15027824,EMUSPR de Visantoña,Visantoña s/n,Santiso,A Coruña,15808,617021087,EMUSPR,42.8616752624512,-8.11649608612061,Privada,Non,Non
15027848,CRA Nosa Señora do Faro,Rúa r/ do Concello 14,Ponteceso,A Coruña,15110,881960970,CRA,43.2436714172363,-8.90115737915039,Pública,Non,Si
15027851,IES A Cachada,Avenida Municipalidade de Avellaneda s/n,Boiro,A Coruña,15930,881866717,IES,42.6440925598145,-8.88628673553467,Pública,Non,Si
15027861,IES Pedra da Aguia,Rúa Curros s/n,Camariñas,A Coruña,15121,881880294,IES,43.1433792114258,-9.11017608642578,Pública,Non,Si
15027873,IES Afonso X O Sabio,Rúa Río Sil 9,Cambre,A Coruña,15660,881880339,IES,43.3013687133789,-8.3560791015625,Pública,Non,Si
15027885,IES Lamas de Castelo,Lugar Lamas de Castelo s/n,Carnota,A Coruña,15293,881867200,IES,42.8331260681152,-9.08370208740234,Pública,Non,Si
15027897,CIFP Paseo das Pontes,Rúa San Pedro de Mezonzo 4,A Coruña,A Coruña,15004,881961030,CIFP,43.3626976013184,-8.41587638854981,Pública,Non,Si
15027903,IES Eduardo Blanco Amor,Lugar CORDEDA s/n,Culleredo,A Coruña,15174,881960347,IES,43.3182945251465,-8.37944889068604,Pública,Non,Si
15027915,IES Fin do Camiño,Rúa Voluntariado 18,Fisterra,A Coruña,15155,881960528,IES,42.9135665893555,-9.26966857910156,Pública,Non,Si
15027927,IES Ramón Caamaño,Rúa Manuel Lastres 33,Muxía,A Coruña,15124,881880775,IES,43.1022071838379,-9.21734142303467,Pública,Non,Si
15027939,IES Maruxa Mallo,As Casillas s/n,Ordes,A Coruña,15680,881880869,IES,43.0694961547851,-8.4135103225708,Pública,Non,Si
15027940,IES As Insuas,Rúa Camiño Real 6,Muros,A Coruña,15259,881867208,IES,42.7906608581543,-9.06303977966309,Pública,Non,Si
15027952,IES Miraflores,Avenida de Miguel Hernandez 4,Oleiros,A Coruña,15173,881880845,IES,43.3308143615723,-8.32009410858154,Pública,Non,Si
