,Graphics card,Type,Performance,Architecture,Year,Price now,TDP
1033,Radeon HD 8570M,notebook,1.14,GCN,2012,338 USD,−
1034,Quadro 410,workstation,1.14,Kepler,2012,41 USD,38 W
1035,GeForce GT 625 OEM,desktop,1.13,Fermi 2.0,2013,100 USD,29 W
1036,GeForce GT 620M,notebook,1.13,Fermi,2012,300 USD,15 W
1037,HD Graphics 400,desktop,1.12,Generation 8.0,2015,710 USD,6 W
1038,Radeon HD 8410G,notebook,1.12,TeraScale 3,2013,338 USD,35 W
1039,Radeon HD 3850 AGP,desktop,1.12,TeraScale,2008,−,75 W
1040,Quadro FX 4600,workstation,1.11,Tesla,2007,179 USD,134 W
1041,Radeon HD 7570M,notebook,1.10,Terascale 2,2012,712 USD,13 W
1042,Radeon HD 8610G,notebook,1.10,Terascale 3,2013,338 USD,−
1043,FirePro M2000,mobile workstation,1.09,Terascale 2,2012,387 USD,33 W
1044,Caicos,desktop,1.09,TeraScale 2,−,18 USD,−
1045,Mobility Radeon HD 5165,notebook,1.09,Terascale 1,2010,−,35 W
1046,Radeon R5 (Beema/Carrizo-L),notebook,1.08,GCN 1.1,2014,−,−
1047,Quadro FX 2800M,mobile workstation,1.07,G9x,2009,140 USD,75 W
1048,Radeon R5 M230,notebook,1.07,GCN,2014,−,−
1049,Radeon HD 8550G,notebook,1.06,Terascale 3,2013,338 USD,35 W
1050,Radeon HD 7470M,notebook,1.05,Terascale 2,2011,700 USD,7 W
1051,GeForce GTS 350M,notebook,1.05,GT2xx,2010,230 USD,28 W
1052,GeForce GT 640M Mac Edition,desktop,1.05,Kepler,2013,50 USD,32 W
1053,UHD Graphics (Elkhart Lake 16 EU),desktop,1.05,,2021,−,4.8 W
1054,Radeon E4690,desktop,1.05,TeraScale,2009,−,30 W
1055,GeForce GT 420M,notebook,1.05,Fermi,2010,310 USD,23 W
1056,GeForce 810M,desktop,1.04,Fermi 2.0,2014,163 USD,15 W
1057,Radeon HD 6550D,desktop,1.04,Terascale 2,2011,49 USD,65 W
1058,GeForce 9800M GTS,notebook,1.04,G9x,2008,230 USD,75 W
1059,Mobility Radeon HD 4650,notebook,1.04,Terascale 1,2009,−,35 W
1060,Radeon R2 (Stoney Ridge),notebook,1.03,GCN 1.2/2.0,2016,−,15 W
1061,Radeon R4 (Beema),notebook,1.03,GCN 1.1,2014,−,−
1062,Quadro FX 1800,workstation,1.03,Tesla,2009,132 USD,59 W
1063,Radeon HD 3850,desktop,1.01,TeraScale,2007,30 USD,75 W
1064,GeForce 7900 GTX,desktop,1.00,Curie,2006,228 USD,84 W
1065,GeForce GT 335M,notebook,0.99,GT200,2010,310 USD,28 W
1066,GeForce 8800M GTS,notebook,0.99,G9x,2007,110 USD,50 W
1067,GeForce 9800M GT,notebook,0.98,G9x,2008,61 USD,65 W
1068,Radeon HD 4670,desktop,0.98,TeraScale,2008,181 USD,59 W
1069,GeForce GTX 260M,notebook,0.98,G9x,2009,109 USD,75 W
1070,Radeon HD 6490M,notebook,0.97,Terascale 2,2011,248 USD,−
1071,Quadro FX 3700,workstation,0.97,Tesla,2008,256 USD,78 W
1072,GeForce GT 620,desktop,0.97,Fermi,2012,125 USD,49 W
1073,Radeon HD 5550,desktop,0.97,TeraScale 2,2010,129 USD,39 W
1074,Radeon HD 6450 GDDR5,desktop,0.96,Terascale 2,2011,129 USD,27 W
1075,HD Graphics (Broadwell),notebook,0.96,Gen. 8 Broadwell,2015,437 USD,−
1076,Quadro FX 2700M,mobile workstation,0.96,G9x,2008,296 USD,65 W
1077,HD Graphics 4200,notebook,0.94,Gen. 7.5 Haswell,2013,427 USD,4 W
1078,Radeon HD 8470D,desktop,0.94,Terascale 3,2013,37 USD,65 W
1079,Radeon HD 7620G,notebook,0.94,Terascale 3,2012,338 USD,25 W
1080,Quadro NVS 5100M,mobile workstation,0.92,GT2xx,2010,105 USD,35 W
1081,Radeon HD 8510G,notebook,0.92,TeraScale 3,2013,659 USD,35 W
1082,Radeon HD 8450G,notebook,0.90,Terascale 3,2013,338 USD,35 W
1083,NVS 315,workstation,0.89,Fermi 2.0,2013,213 USD,19 W
1084,GeForce 7950 GT,desktop,0.89,Curie,2006,200 USD,65 W
1085,Radeon HD 6620G,notebook,0.88,Terascale 2,2011,338 USD,35 W
1086,Radeon HD 8310E,desktop,0.88,GCN 2.0,2013,−,25 W
1087,HD Graphics 505,notebook,0.86,Gen. 9 Apollo Lake,2016,659 USD,6 W
