,Graphics card,Type,Performance,Architecture,Year,Price now,TDP
348,Radeon Pro Vega 20,mobile workstation,13.68,Vega,2018,360 USD,100 W
349,Quadro P2000 Max-Q,mobile workstation,13.64,Pascal,2017,426 USD,−
350,Radeon HD 7970,desktop,13.55,GCN,2011,89 USD,250 W
351,GRID M60-2Q,workstation,13.43,Maxwell 2.0,2015,−,225 W
352,Radeon R9 M395X,notebook,13.41,GCN 3,2014,−,125 W
353,Radeon R9 M295X Mac Edition,desktop,13.38,GCN 3.0,2014,−,250 W
354,Radeon R9 M295X,notebook,13.29,GCN 3,2014,−,125 W
355,GeForce GTX 1050 3 GB,desktop,13.26,Pascal,2018,1118 USD,75 W
356,FirePro S9000,workstation,13.06,GCN 1.0,2012,433 USD,225 W
357,GeForce GTX 1050,desktop,13.03,Pascal,2016,211 USD,60 W
358,Radeon R9 M395,notebook,12.97,GCN,2015,1288 USD,−
359,GeForce GTX 1630,desktop,12.91,Turing,2022,213 USD,75 W
360,GeForce GTX 1050 3GB Mobile,notebook,12.77,,2018,−,−
361,FirePro S9050,workstation,12.65,GCN 1.0,2014,782 USD,225 W
362,Radeon R9 270X,desktop,12.62,GCN,2013,136 USD,180 W
363,Radeon Pro Vega 16,mobile workstation,12.41,Vega,2018,511 USD,75 W
364,GeForce GTX 760,desktop,12.36,Kepler,2013,136 USD,170 W
365,FirePro S10000,workstation,12.31,GCN 1.0,2012,22 USD,375 W
366,Radeon HD 7950,desktop,12.30,GCN 1.0,2012,431 USD,200 W
367,Radeon Sky 500,desktop,12.30,GCN 1.0,2013,129 USD,150 W
368,GeForce GTX 860M SLI,notebook,12.27,Maxwell,2014,489 USD,120 W
369,Radeon R9 370,desktop,12.19,GCN 1.0,2015,325 USD,110 W
370,Radeon Pro WX Vega M GL,mobile workstation,11.99,Vega,2018,1359 USD,65 W
371,Radeon HD 7870,desktop,11.96,GCN,2012,200 USD,200 W
372,GeForce MX550,notebook,11.91,Turing,2021,−,15 W
373,GeForce GTX 580,desktop,11.78,Fermi,2010,15 USD,244 W
374,FirePro S7000,workstation,11.68,GCN 1.0,2012,300 USD,150 W
375,Radeon R7 370,desktop,11.67,GCN 1.0,2015,378 USD,100 W
376,Tesla K40c,workstation,11.60,Kepler,2013,360 USD,245 W
377,Radeon HD 7870 XT,desktop,11.54,GCN 1.0,2012,133 USD,185 W
378,GeForce GTX 1050 Mobile,notebook,11.52,Pascal,2017,256 USD,75 W
379,Quadro P1000,workstation,11.50,Pascal,2017,301 USD,40 W
380,Tesla K20m,workstation,11.44,Kepler,2013,5781 USD,225 W
381,Iris Xe MAX Graphics,notebook,11.39,Gen. 12 Xe,2020,−,25 W
382,GeForce GTX 660 Ti,desktop,11.37,Kepler,2012,189 USD,150 W
383,Radeon RX 560 Mobile,notebook,11.24,Polaris,2017,468 USD,75 W
384,Quadro K4200,workstation,11.16,Kepler,2014,311 USD,108 W
385,Radeon RX 5300M,notebook,11.12,Navi / RDNA,2019,525 USD,65 W
386,Radeon R9 270,desktop,11.12,GCN 1.0,2013,229 USD,150 W
387,Radeon RX 560X Mobile,notebook,11.08,Polaris,2017,520 USD,60 W
388,Quadro M2200,mobile workstation,11.07,Maxwell,2017,1967 USD,55 W
389,FirePro W7000,workstation,11.02,GCN 1.0,2012,195 USD,150 W
390,CMP 30HX,desktop,10.97,Turing,2021,24 USD,125 W
391,GeForce GTX 680MX,notebook,10.69,Kepler,2012,200 USD,122 W
392,Iris Xe Graphics G7,notebook,10.66,Gen. 11 Ice Lake,2020,−,−
393,GeForce GTX 765M SLI,notebook,10.60,Kepler,2013,149 USD,130 W
394,GeForce GTX 480,desktop,10.59,Fermi,2010,16 USD,295 W
395,Radeon RX 460,desktop,10.59,Polaris,2016,397 USD,75 W
396,FirePro W8000,workstation,10.57,GCN 1.0,2012,215 USD,225 W
397,GeForce GTX 1050 Max-Q,notebook,10.43,Pascal,2018,1085 USD,34 W
398,T550 Mobile,notebook,10.35,Turing,2022,−,25 W
399,GeForce GTX 780 Rev. 2,desktop,10.34,Kepler,2013,270 USD,250 W
400,FirePro D500,workstation,10.34,GCN 1.0,2014,475 USD,274 W
401,Radeon R7 265,desktop,10.33,GCN 1.0,2014,242 USD,150 W
402,GeForce GTX 660,desktop,10.32,Kepler,2012,172 USD,140 W
403,Quadro M2000,workstation,10.31,Maxwell 2.0,2016,285 USD,75 W
404,Quadro K5000,workstation,10.29,Kepler,2012,289 USD,122 W
405,Radeon RX 7600M,notebook,10.17,RDNA 3,2023,−,90 W
406,Radeon RX 460 Mobile,notebook,10.15,Polaris,2016,95 USD,75 W
407,GeForce GTX 580M SLI,notebook,10.15,Fermi,2011,249 USD,100 W
408,GeForce GTX 570,desktop,10.13,Fermi,2010,13 USD,219 W
409,GeForce GTX 750 Ti,desktop,10.08,Maxwell,2014,357 USD,75 W
410,GRID M60-8Q,workstation,10.02,Maxwell 2.0,2015,−,225 W
411,Radeon HD 8970M,notebook,10.01,GCN,2013,135 USD,100 W
412,Radeon HD 6990M Crossfire,notebook,9.99,Terascale 2,2011,170 USD,−
413,Tiger Lake-U Xe Graphics G7,notebook,9.97,Gen. 11 Ice Lake,2020,−,−
414,Radeon HD 7850,desktop,9.95,GCN 1.0,2012,267 USD,130 W
415,Radeon HD 7970M,notebook,9.93,GCN,2012,338 USD,100 W
416,GeForce GTX 880M,notebook,9.92,Kepler,2014,1544 USD,103 W
417,GeForce GTX 780M,notebook,9.86,Kepler,2013,1093 USD,100 W
418,Radeon R9 M390,notebook,9.81,GCN,2015,−,−
419,GeForce GTX 670MX SLI,notebook,9.79,Kepler,2012,−,150 W
420,FirePro D300,workstation,9.79,GCN 1.0,2014,260 USD,150 W
421,Radeon 660M,notebook,9.78,RDNA 2,2022,−,45 W
422,GeForce GTX 965M,notebook,9.74,Maxwell,2015,1546 USD,50 W
423,GeForce MX450,notebook,9.63,Turing,2020,−,25 W
424,T400 4 GB,desktop,9.61,Turing,2021,216 USD,30 W
425,Radeon Pro WX 4100,workstation,9.59,GCN 4.0,2016,711 USD,50 W
426,GRID M60-1Q,workstation,9.54,Maxwell 2.0,2015,−,225 W
427,Tesla K8,workstation,9.52,Kepler,2014,249 USD,100 W
428,Radeon Pro 560X,mobile workstation,9.49,Polaris,2017,133 USD,35 W
429,Tesla M2090,workstation,9.46,Fermi 2.0,2011,1844 USD,250 W
430,Radeon R9 M485X,notebook,9.45,GCN 3,2016,2500 USD,125 W
431,Radeon RX 560,desktop,9.41,GCN 4.0,2017,381 USD,75 W
432,P104-100,desktop,9.40,Pascal,2017,17 USD,−
433,Radeon RX Vega M GL,notebook,9.38,GCN 4.0,2018,1307 USD,65 W
434,T400,desktop,9.37,Turing,2021,83 USD,30 W
435,Quadro P620,workstation,9.35,Pascal,2019,170 USD,25 W
436,Radeon R9 M390X,notebook,9.29,GCN 3,2015,−,125 W
437,GeForce GTX 775M,notebook,9.27,Kepler,2013,780 USD,100 W
438,GRID M6-8Q,workstation,9.21,Maxwell 2.0,2015,−,100 W
439,GeForce GTX 485M SLI,notebook,9.19,Fermi,2011,149 USD,100 W
440,Quadro K2200,workstation,9.16,Maxwell,2014,313 USD,68 W
441,Radeon 740M,notebook,9.15,RDNA 3,2023,−,30 W
442,GRID K520,workstation,9.08,Kepler,2013,80 USD,225 W
443,Radeon RX Vega 8 (Ryzen 4000/5000),notebook,9.06,Vega,2020,−,15 W
444,Quadro 7000,workstation,9.05,Fermi 2.0,2012,965 USD,204 W
445,Iris Xe Graphics G7 96EUs,notebook,9.02,Gen. 11 Ice Lake,2020,−,28 W
446,Radeon HD 6970M Crossfire,notebook,8.99,Terascale 2,2011,170 USD,−
447,Radeon Pro 560,mobile workstation,8.97,Polaris,2017,127 USD,35 W
448,Quadro K2200M,workstation,8.95,Maxwell,2014,228 USD,65 W
449,Quadro M2000M,mobile workstation,8.94,Maxwell,2015,363 USD,55 W
450,Quadro T500 Mobile,mobile workstation,8.92,Turing,2019,−,25 W
451,Radeon Pro 460,mobile workstation,8.91,Polaris,2016,100 USD,35 W
452,GeForce GTX 870M,notebook,8.90,Kepler,2014,403 USD,100 W
453,Tesla K20c,workstation,8.90,Kepler,2012,591 USD,225 W
454,GeForce GTX 960M,notebook,8.78,Maxwell,2015,799 USD,75 W
455,GeForce GTX 675M SLI,notebook,8.75,Fermi,2011,499 USD,2 W
456,Tesla C2075,workstation,8.68,Fermi 2.0,2011,2237 USD,247 W
457,GeForce GTX 750,desktop,8.67,Maxwell,2014,340 USD,55 W
458,GeForce GT 755M SLI,notebook,8.67,Kepler,2013,545 USD,2 W
459,GeForce GTX 650 Ti Boost,desktop,8.65,Kepler,2013,285 USD,134 W
460,GeForce GTX 590,desktop,8.62,Fermi,2011,600 USD,365 W
461,Tesla K40m,workstation,8.47,Kepler,2013,744 USD,245 W
462,Quadro P600,workstation,8.45,Pascal,2017,207 USD,25 W
463,Radeon R9 M290X,notebook,8.42,GCN,2014,613 USD,100 W
464,Radeon R9 M470X,notebook,8.37,GCN 2,2016,−,−
465,Quadro M1200,mobile workstation,8.37,Maxwell,2017,1372 USD,45 W
466,Radeon Pro 555X,mobile workstation,8.35,Polaris,2017,894 USD,−
467,GeForce GTX 680M,notebook,8.30,Kepler,2012,293 USD,100 W
468,Radeon RX 560X,desktop,8.25,GCN 4.0,2018,999 USD,75 W
469,Radeon R7 260X,desktop,8.21,GCN 2.0,2013,204 USD,115 W
470,Tesla C2050,workstation,8.20,Fermi,2011,70 USD,238 W
471,Tesla M10,workstation,8.19,Maxwell,2016,1999 USD,225 W
472,Bonaire,desktop,8.17,GCN 2.0,−,41 USD,−
473,FirePro W7170M,mobile workstation,8.16,GCN 3,2015,600 USD,100 W
474,GeForce GTX 560 Ti 448,desktop,8.15,Fermi 2.0,2011,624 USD,210 W
475,Radeon Pro 555,mobile workstation,8.11,Polaris,2017,894 USD,−
476,Baffin,desktop,8.09,GCN 4.0,−,127 USD,−
477,Radeon Pro 455,mobile workstation,8.03,Polaris,2016,696 USD,−
478,GeForce GTX 470,desktop,8.01,Fermi,2010,10 USD,225 W
479,Radeon R7 360,desktop,7.98,GCN 2.0,2015,14 USD,80 W
480,Radeon HD 7790,desktop,7.98,GCN 2.0,2013,219 USD,85 W
481,Quadro K5100M,mobile workstation,7.93,Kepler,2013,440 USD,100 W
482,GeForce GTX 560 Ti,desktop,7.84,Fermi,2011,130 USD,160 W
483,GeForce GTX 860M,notebook,7.81,Maxwell,2014,875 USD,75 W
484,FirePro W5100,workstation,7.78,GCN 2.0,2014,220 USD,50 W
485,Radeon HD 6990,desktop,7.78,TeraScale 3,2011,144 USD,375 W
486,Cypress,desktop,7.68,TeraScale 2,−,12 USD,−
487,FirePro W5000,workstation,7.67,GCN 1.0,2012,141 USD,75 W
488,Tahiti,desktop,7.66,GCN 1.0,−,20 USD,−
489,GRID M3-3020,workstation,7.63,Maxwell,2016,−,−
490,GRID K260Q,workstation,7.61,Kepler,2013,−,225 W
491,Iris Xe Graphics G7 80EUs,notebook,7.60,Gen. 11 Ice Lake,2020,−,28 W
492,Quadro K1200,workstation,7.54,Maxwell,2015,124 USD,45 W
493,Tesla K20Xm,workstation,7.53,Kepler,2012,−,235 W
494,FirePro W4300,workstation,7.47,GCN 2.0,2015,129 USD,50 W
495,Radeon R7 260,desktop,7.46,GCN 2.0,2013,205 USD,95 W
496,Quadro M1000M,mobile workstation,7.43,Maxwell,2015,706 USD,40 W
497,Radeon RX Vega 7,notebook,7.43,Vega,2020,387 USD,15 W
498,Radeon Pro V340 MxGPU,workstation,7.36,GCN 5.0,2018,−,300 W
499,GRID K280Q,workstation,7.33,Kepler,2013,−,225 W
500,Tesla C2070,workstation,7.33,Fermi,2011,5193 USD,238 W
501,Radeon HD 6970,desktop,7.32,Terascale 2,2010,189 USD,250 W
502,Quadro M620,mobile workstation,7.27,Maxwell,2017,1958 USD,30 W
503,Radeon HD 6930,desktop,7.25,TeraScale 3,2011,12 USD,186 W
504,GeForce MX350,notebook,7.24,Pascal,2020,−,25 W
505,GeForce GTX 770M,notebook,7.20,Kepler,2013,178 USD,50 W
506,Radeon RX 540,notebook,7.20,Polaris,2017,166 USD,75 W
507,Quadro K5000M,mobile workstation,7.17,Kepler,2012,382 USD,100 W
508,UHD Graphics 64EUs (Alder Lake 12th Gen),notebook,7.17,Gen. 12,2022,−,−
509,Radeon R9 M380,notebook,7.13,GCN,2015,−,−
510,GeForce GTX 675MX,notebook,7.08,Kepler,2012,868 USD,100 W
511,GRID K2,workstation,7.06,Kepler,2013,10 USD,225 W
512,GeForce GTX 560,desktop,7.06,Fermi 2.0,2011,76 USD,150 W
513,Quadro K4100M,mobile workstation,7.06,Kepler,2013,323 USD,100 W
514,FirePro S7150,workstation,7.04,GCN 3.0,2016,7738 USD,150 W
515,Quadro K4000,workstation,7.03,Kepler,2013,330 USD,80 W
516,Radeon Pro 450,mobile workstation,7.03,Polaris,2016,183 USD,75 W
517,GeForce GTX 570 Rev. 2,desktop,7.03,Fermi 2.0,2010,249 USD,219 W
518,Radeon RX 550,desktop,7.00,GCN 4.0,2017,121 USD,50 W
519,Quadro 6000,workstation,6.99,Fermi,2010,1730 USD,204 W
520,Radeon RX 550 Mobile,notebook,6.92,Polaris,2017,294 USD,50 W
521,GeForce GTX 465,desktop,6.88,Fermi,2010,16 USD,200 W
522,GeForce GT 750M SLI,notebook,6.88,Kepler,2013,545 USD,−
523,FirePro R5000,workstation,6.83,GCN 1.0,2013,500 USD,150 W
524,Radeon HD 6950,desktop,6.74,TeraScale 3,2010,320 USD,200 W
525,GRID M10-8Q,workstation,6.73,Maxwell,2016,−,225 W
526,GeForce GTX 950A,desktop,6.72,Maxwell,2015,1099 USD,75 W
527,GeForce GTX 950M,notebook,6.68,Maxwell,2015,797 USD,75 W
528,GeForce GTX 780M Mac Edition,desktop,6.67,Kepler,2013,149 USD,122 W
529,GeForce GTX 470M SLI,notebook,6.62,Fermi,2010,149 USD,−
530,GRID K240Q,workstation,6.56,Kepler,2013,−,225 W
531,Radeon HD 6850 X2,desktop,6.54,TeraScale 2,2011,−,254 W
532,FireStream 9370,desktop,6.53,TeraScale 2,2010,−,225 W
533,GeForce GTX 650 Ti,desktop,6.51,Kepler,2012,251 USD,110 W
534,Radeon PRO WX 3100,mobile workstation,6.50,Polaris,2017,242 USD,65 W
535,GeForce GTX 850M,notebook,6.49,Maxwell,2014,163 USD,45 W
536,GeForce GTX 560M SLI,notebook,6.45,Fermi,2011,149 USD,100 W
537,Radeon Pro WX 4150,mobile workstation,6.45,Polaris,2017,2000 USD,50 W
538,GeForce GTX 480M SLI,notebook,6.44,Fermi,2010,149 USD,100 W
539,GeForce GT 1030,desktop,6.38,Pascal,2017,137 USD,30 W
540,GeForce MX330,notebook,6.33,Pascal,2020,1079 USD,25 W
541,Radeon Pro WX 3200,workstation,6.27,Polaris,2019,740 USD,65 W
542,GeForce MX250,notebook,6.25,Pascal,2019,1165 USD,10 W
543,Radeon RX Vega 6 (Ryzen 4000/5000),notebook,6.24,Vega,2020,−,15 W
544,GeForce GTX 960A,desktop,6.22,Maxwell,2015,243 USD,75 W
545,UHD Graphics 770,desktop,6.13,Alder Lake,2022,878 USD,15 W
546,GeForce GTX 485M,notebook,6.09,Fermi,2010,163 USD,100 W
547,FirePro W6150M,workstation,6.09,GCN 2.0,2015,299 USD,−
548,P106-090,desktop,6.05,Pascal,2017,26 USD,75 W
549,Radeon RX 550X Mobile,notebook,6.04,Polaris,2019,299 USD,50 W
550,Radeon R9 M470,notebook,6.01,GCN 2,2016,−,−
551,FirePro V7900,workstation,5.95,TeraScale 3,2011,165 USD,150 W
552,Radeon HD 5970,desktop,5.94,TeraScale 2,2009,69 USD,294 W
553,GeForce MX150,notebook,5.88,Pascal,2017,1049 USD,25 W
554,Quadro K3100M,mobile workstation,5.86,Kepler,2013,683 USD,75 W
555,Radeon HD 6970M,notebook,5.86,Terascale 2,2011,257 USD,75 W
556,Radeon R7 250X,desktop,5.85,GCN 1.0,2014,207 USD,80 W
557,GeForce GTX 460,desktop,5.84,Fermi,2010,128 USD,160 W
558,Radeon RX 550X,desktop,5.82,GCN 4.0,2018,259 USD,50 W
559,Quadro K620,workstation,5.77,Maxwell,2014,286 USD,45 W
560,Radeon HD 6870,desktop,5.73,Terascale 2,2010,332 USD,151 W
561,Radeon HD 5870,desktop,5.72,TeraScale 2,2009,125 USD,188 W
562,FirePro W5170M,mobile workstation,5.66,GCN,2015,1530 USD,−
563,Radeon RX Vega 9,notebook,5.61,Vega,2017,302 USD,15 W
564,Radeon HD 7770,desktop,5.60,GCN,2012,300 USD,80 W
565,Radeon R7 350,desktop,5.56,GCN 1.0,2016,142 USD,55 W
566,Quadro M600M,mobile workstation,5.54,Maxwell,2015,103 USD,30 W
567,Iris Plus Graphics G7 (Ice Lake 64 EU),notebook,5.53,Gen. 11 Ice Lake,2019,−,12 W
568,FirePro M6100,mobile workstation,5.48,GCN,2013,120 USD,−
569,Juniper,desktop,5.47,TeraScale 2,−,23 USD,−
570,Radeon RX Vega 11,desktop,5.47,Vega,2017,475 USD,65 W
571,GeForce 945M,notebook,5.44,Maxwell,2015,163 USD,75 W
572,Quadro P520,mobile workstation,5.43,Pascal,2019,1670 USD,18 W
573,FirePro M5100,mobile workstation,5.43,GCN,2013,105 USD,−
574,GeForce GTX 580M,notebook,5.35,Fermi,2011,170 USD,100 W
575,Radeon R9 M385,notebook,5.32,GCN,2015,999 USD,−
576,Quadro 5000M,mobile workstation,5.32,Fermi,2010,3732 USD,100 W
577,Radeon HD 6990M,notebook,5.22,Terascale 2,2011,190 USD,100 W
578,Iris Pro Graphics P580,notebook,5.21,Gen. 9 Skylake,2015,−,15 W
579,GeForce GTX 460 SE,desktop,5.19,Fermi,2010,350 USD,150 W
580,Radeon Pro W5500M,workstation,5.19,RDNA 1.0,2020,2381 USD,85 W
581,Radeon R9 M385X,notebook,5.14,GCN,2015,999 USD,−
582,GeForce GTX 765M,notebook,5.14,Kepler,2013,93 USD,60 W
583,Radeon HD 5850,desktop,5.13,Terascale 2,2009,120 USD,151 W
584,Radeon HD 6850,desktop,5.09,TeraScale 2,2010,177 USD,127 W
585,GeForce GT 650M SLI,notebook,5.09,Kepler,2012,545 USD,−
586,Radeon Pro WX 4130,mobile workstation,5.07,Polaris,2017,2000 USD,50 W
587,Quadro K4000M,mobile workstation,5.06,Kepler,2012,240 USD,100 W
588,GeForce GTX 470M,notebook,5.04,Fermi,2010,78 USD,75 W
589,Radeon RX 640,notebook,5.03,Polaris,2019,193 USD,50 W
590,GeForce GTX 670MX,notebook,5.03,Kepler,2012,−,75 W
591,GeForce GTX 675M,notebook,4.98,Fermi,2012,218 USD,100 W
592,Quadro 5000,workstation,4.98,Fermi,2011,991 USD,152 W
593,Radeon RX 570X,desktop,4.96,GCN 4.0,2018,186 USD,120 W
594,GeForce GTX 560 SE,desktop,4.94,Fermi 2.0,2012,703 USD,150 W
595,GeForce GTX 460M SLI,notebook,4.92,Fermi,2010,149 USD,−
596,Radeon 550,desktop,4.87,GCN 4.0,2017,94 USD,50 W
597,Tesla M2070,workstation,4.86,Fermi,2011,4064 USD,225 W
598,Mobility Radeon HD 5870 Crossfire,notebook,4.85,Terascale 2,2010,56 USD,120 W
599,Qualcomm Adreno 690,notebook,4.85,,2018,−,7 W
600,GeForce GTX 460 v2,desktop,4.83,Fermi 2.0,2011,235 USD,160 W
601,Quadro M520,mobile workstation,4.83,Maxwell,2017,−,25 W
602,GeForce GTX 570M,notebook,4.81,Fermi,2011,163 USD,75 W
603,GeForce MX130,notebook,4.79,Maxwell,2018,899 USD,15 W
604,GeForce 945A,desktop,4.78,Maxwell,2015,−,33 W
605,Iris Pro Graphics 580,notebook,4.75,Gen. 9 Skylake,2015,2427 USD,15 W
606,GeForce MX230,notebook,4.75,Pascal,2019,1221 USD,10 W
607,Radeon R9 M360,desktop,4.74,GCN 1.0,2015,1140 USD,−
608,Radeon PRO WX 2100,mobile workstation,4.73,Polaris,2018,343 USD,50 W
609,UHD Graphics Xe 32EUs (Tiger Lake-H),notebook,4.70,Gen. 12,2021,−,−
610,FirePro M6000,mobile workstation,4.70,GCN,2012,162 USD,43 W
611,Radeon RX Vega 5,notebook,4.65,Vega,2020,287 USD,15 W
612,Quadro 5010M,mobile workstation,4.57,Fermi,2011,134 USD,100 W
613,Iris Plus Graphics 650,notebook,4.54,Gen. 9.5 Kaby Lake,2017,949 USD,15 W
614,UHD Graphics Xe G4 48EUs,notebook,4.53,Gen. 11 Ice Lake,2020,−,28 W
615,GeForce GTX 650,desktop,4.52,Kepler,2012,207 USD,65 W
616,Radeon R9 M375X,desktop,4.49,GCN 1.0,2015,448 USD,−
617,Radeon RX Vega 8 (Ryzen 2000/3000),notebook,4.48,Vega,2017,−,15 W
618,GeForce GTX 670M,notebook,4.48,Fermi,2012,3 USD,75 W
619,Radeon HD 5830,desktop,4.48,TeraScale 2,2010,12 USD,175 W
620,UHD Graphics 750,notebook,4.47,Generation 12.1,2021,1454 USD,15 W
621,GeForce GTX 760M,notebook,4.43,Kepler,2013,163 USD,45 W
622,Radeon HD 5770,desktop,4.40,Terascale 2,2009,103 USD,108 W
623,UHD Graphics Xe 750 32EUs,notebook,4.39,Gen. 12,2021,−,−
624,Radeon HD 7750,desktop,4.38,GCN 1.0,2012,108 USD,55 W
625,GeForce GTS 450 Rev. 2,desktop,4.38,Fermi 2.0,2011,−,106 W
626,GeForce GTX 460 768MB,desktop,4.38,Fermi,−,149 USD,−
627,GeForce GT 755M,notebook,4.35,Kepler,2013,310 USD,50 W
628,Radeon E8860,desktop,4.35,GCN 1.0,2014,−,37 W
629,Radeon Graphics (Ryzen 7000),notebook,4.33,RDNA 2,2022,−,−
630,GeForce GT 750M Mac Edition,desktop,4.32,Kepler,2013,50 USD,50 W
631,FirePro W600,workstation,4.31,GCN 1.0,2012,358 USD,75 W
632,Radeon R7 M380,notebook,4.31,GCN,2015,−,−
633,Radeon R7 250E,desktop,4.28,GCN 1.0,2013,599 USD,55 W
634,Quadro K3000M,mobile workstation,4.25,Kepler,2012,223 USD,75 W
635,GRID M40,workstation,4.25,Maxwell,2016,484 USD,50 W
636,Radeon RX Vega 10,notebook,4.23,Vega,2017,449 USD,15 W
637,Radeon HD 8870M,notebook,4.23,GCN,2012,338 USD,−
638,Quadro P400,workstation,4.23,Pascal,2017,73 USD,30 W
639,Quadro P500,mobile workstation,4.21,Pascal,2017,300 USD,18 W
640,GeForce GTX 285M SLI,notebook,4.20,G9x,2009,149 USD,150 W
641,Iris Plus Graphics 655,notebook,4.20,Gen. 9.5 Kaby Lake,2017,999 USD,15 W
642,Radeon R7 M465X,desktop,4.19,GCN 1.0,2016,−,−
643,GeForce GTX 480M,notebook,4.17,Fermi,2010,163 USD,100 W
644,Radeon HD 6790,desktop,4.17,Terascale 2,2011,184 USD,150 W
645,FirePro M4000,mobile workstation,4.14,GCN,2012,433 USD,33 W
646,Quadro K2000D,workstation,4.07,Kepler,2013,438 USD,51 W
647,Quadro K2000,workstation,4.07,Kepler,2013,550 USD,51 W
648,Iris Plus Graphics G4 (Ice Lake 48 EU),notebook,4.02,Gen. 11 Ice Lake,2019,−,12 W
649,GeForce GTX 550 Ti,desktop,3.99,Fermi,2011,197 USD,116 W
650,Radeon R9 M370X,notebook,3.99,GCN 1.0,2015,−,−
651,Iris Plus Graphics 645,notebook,3.97,Gen. 9.5 Coffee Lake,2019,−,15 W
652,Radeon R9 M275X,desktop,3.97,GCN 1.0,2014,10 USD,−
653,FirePro W4100,workstation,3.94,GCN,2015,916 USD,50 W
654,GeForce 845M,notebook,3.93,Maxwell,2014,163 USD,33 W
655,GeForce GTX 285,desktop,3.91,Tesla 2.0,2008,98 USD,204 W
656,GeForce 940MX,notebook,3.91,Maxwell,2016,950 USD,15 W
657,Iris Pro Graphics 6200,notebook,3.90,Gen. 8 Broadwell,2015,645 USD,15 W
658,Radeon HD 7870M,notebook,3.89,GCN,2012,338 USD,45 W
659,Radeon HD 4890,desktop,3.89,TeraScale,2009,12 USD,190 W
660,GeForce GT 740,desktop,3.85,Kepler,2014,279 USD,64 W
661,Iris Plus Graphics 640,notebook,3.84,Gen. 9.5 Kaby Lake,2017,669 USD,15 W
662,Radeon R9 M365X,notebook,3.82,GCN,2015,−,−
663,Quadro 4000,workstation,3.82,Fermi,2010,295 USD,142 W
664,Radeon 550X,desktop,3.77,GCN 4.0,2019,468 USD,50 W
665,GeForce MX110,notebook,3.73,Maxwell,2018,1057 USD,30 W
666,GeForce GTX 660M,notebook,3.69,Kepler,2012,276 USD,50 W
667,Radeon 540X,notebook,3.68,GCN 4.0,2019,421 USD,50 W
668,Maxwell GPU Surface Book,notebook,3.67,Maxwell,2015,−,−
669,Oland,desktop,3.66,GCN 1.0,−,166 USD,−
670,Radeon R7 M370,notebook,3.66,GCN,2015,875 USD,−
671,FirePro V5800,workstation,3.65,TeraScale 2,2010,354 USD,74 W
672,GeForce GTX 275,desktop,3.65,Tesla 2.0,2009,82 USD,219 W
673,"Maxwell GPU Surface Book (940M, GDDR5)",notebook,3.65,Maxwell,2015,−,−
674,FirePro W5130M,mobile workstation,3.64,GCN,2015,1041 USD,−
675,UHD Graphics 32EUs (Alder Lake),notebook,3.58,,−,−,−
676,Iris Graphics 550,notebook,3.58,Gen. 9 Skylake,2015,−,15 W
677,Radeon HD 7770M,notebook,3.55,GCN,2012,338 USD,32 W
678,Radeon HD 7850M,notebook,3.54,GCN,2012,338 USD,32 W
679,Radeon HD 6950M,notebook,3.53,Terascale 2,2011,338 USD,50 W
680,Radeon HD 4870,desktop,3.53,TeraScale,2008,162 USD,150 W
681,Radeon 540,desktop,3.51,GCN 4.0,2019,1233 USD,50 W
682,Quadro K2100M,mobile workstation,3.51,Kepler,2013,208 USD,55 W
683,GeForce GT 640 Rev. 2,desktop,3.51,Kepler 2.0,2013,230 USD,49 W
684,GeForce GTX 280M SLI,notebook,3.46,G9x,2009,149 USD,150 W
685,FireStream 9270,desktop,3.46,TeraScale,2008,−,160 W
686,Quadro 4000M,mobile workstation,3.43,Fermi,2011,118 USD,100 W
687,GeForce GT 750M,notebook,3.42,Kepler,2013,1119 USD,35 W
688,GeForce GTS 450,desktop,3.42,Fermi,2010,127 USD,106 W
689,FirePro M5950,mobile workstation,3.39,Terascale 2,2011,386 USD,35 W
690,Radeon HD 4870 X2,desktop,3.38,TeraScale,2008,202 USD,286 W
691,Tesla M2070-Q,workstation,3.37,Fermi,2011,−,225 W
692,Radeon HD 8790M,notebook,3.37,GCN,2012,460 USD,−
693,Radeon R7 M275DX,notebook,3.37,GCN,2014,−,−
694,GeForce GTX 280,desktop,3.35,Tesla 2.0,2008,159 USD,236 W
695,GeForce GTX 660 OEM,desktop,3.34,Kepler,2012,481 USD,130 W
696,GeForce 930MX,notebook,3.34,Maxwell,2016,1808 USD,15 W
697,Cayman,desktop,3.31,TeraScale 3,−,15 USD,−
698,Radeon 630,notebook,3.28,GCN 1.0,2019,65 USD,50 W
699,FirePro V5900,workstation,3.28,TeraScale 3,2011,89 USD,75 W
700,GeForce 930A,desktop,3.27,Maxwell,2015,350 USD,33 W
701,GeForce GTX 260M SLI,notebook,3.23,G9x,2009,149 USD,150 W
702,Radeon HD 6770,desktop,3.22,TeraScale 2,2011,150 USD,108 W
703,GeForce GTX 560M,notebook,3.20,Fermi,2011,1198 USD,75 W
704,GeForce GTX 460M,notebook,3.19,Fermi,2010,88 USD,50 W
705,GeForce GT 745A,desktop,3.17,Kepler,2013,530 USD,33 W
706,GeForce GTX 760A,desktop,3.16,Kepler,2014,−,55 W
707,GeForce GTX 260,desktop,3.16,Tesla 2.0,2008,49 USD,182 W
