,Name,User rating %,Value %,Avg. Bench %,Memory Pts,8-Core Pts,Mkt. share %,Age months,Price €,fecha,cuartil,año,Q_año
7,Intel Core i5-8400,61,102,81.8,84.9,564,0.95,78,109,2017-11-17 18:42:51.754560,Q4,2017,Q4 2017
8,AMD Ryzen 7 2700U,60,0,52.1,56.9,407,0,74,,2018-03-17 18:42:51.754560,Q1,2018,Q1 2018
9,AMD Ryzen 5 2500U,60,0,48.9,54.4,357,0.02,77,,2017-12-17 18:42:51.754560,Q4,2017,Q4 2017
10,AMD Ryzen 5 3500U,60,0,48.1,51.7,364,0.06,60,,2019-05-11 18:42:51.754560,Q2,2019,Q2 2019
11,Intel Core i5-8300H,60,0,64.7,76.3,410,0.32,74,,2018-03-17 18:42:51.754560,Q1,2018,Q1 2018
12,Intel Core i5-2400,60,0,60.6,78.1,263,0.21,159,,2011-03-24 18:42:51.754560,Q1,2011,Q1 2011
13,Intel Core i7-6700,60,85.7,72.3,81.2,517,0.74,103,129,2015-10-29 18:42:51.754560,Q4,2015,Q4 2015
14,Intel Core i7-7700,60,82.8,76.2,84,556,0.73,87,177,2017-02-20 18:42:51.754560,Q1,2017,Q1 2017
15,AMD Ryzen 3 1300X,60,0,65.4,67.6,377,0.02,80,,2017-09-18 18:42:51.754560,Q3,2017,Q3 2017
16,AMD Ryzen TR 1900X,60,0,76.3,68.2,782,0,79,,2017-10-18 18:42:51.754560,Q4,2017,Q4 2017
17,AMD Ryzen 5 1400,60,64.3,61,67.2,446,0.03,84,197,2017-05-21 18:42:51.754560,Q2,2017,Q2 2017
18,Intel Core i5-8500,60,0,82.1,82.6,585,0.24,73,,2018-04-16 18:42:51.754560,Q2,2018,Q2 2018
19,AMD Ryzen 9 3950X,60,70,89.3,77.2,1074,0.04,53,580,2019-12-07 18:42:51.754560,Q4,2019,Q4 2019
20,AMD Ryzen 5 5600G,60,0,86.1,74.7,850,0.44,35,,2021-05-30 18:42:51.754560,Q2,2021,Q2 2021
21,Intel Core i7-8550U,59,0,53,65.3,301,0.33,80,,2017-09-18 18:42:51.754560,Q3,2017,Q3 2017
22,AMD Ryzen 5 3500X,59,0,81.7,74.3,637,0.08,54,,2019-11-07 18:42:51.754560,Q4,2019,Q4 2019
23,AMD Ryzen 7 4800H,59,0,73.9,67.3,726,0.11,50,,2020-03-06 18:42:51.754560,Q1,2020,Q1 2020
24,AMD Ryzen 5 4500U,59,0,71.4,63.4,548,0.04,49,,2020-04-05 18:42:51.754560,Q2,2020,Q2 2020
25,AMD Ryzen 7 5800H,59,0,75,71.2,733,0.11,38,,2021-03-01 18:42:51.754560,Q1,2021,Q1 2021
26,Intel Core i7-6850K,59,92,83.6,86.5,713,0.03,94,169,2016-07-25 18:42:51.754560,Q3,2016,Q3 2016
27,AMD Ryzen TR 1920X,59,0,77.6,70.7,836,0.01,80,,2017-09-18 18:42:51.754560,Q3,2017,Q3 2017
28,Intel Core i7-11700,59,94.9,98.1,84,1031,0.29,38,270,2021-03-01 18:42:51.754560,Q1,2021,Q1 2021
29,AMD Ryzen 7 5700X,59,0,96,81.5,1006,0.46,24,,2022-04-25 18:42:51.754560,Q2,2022,Q2 2022
30,Intel Core i5-14400F,59,108,107,81.3,1187,0.12,3,227,2024-01-15 18:42:51.754560,Q1,2024,Q1 2024
31,Intel Core i5-14600KF,59,114,124,82.7,1495,0.32,5,325,2023-11-16 18:42:51.754560,Q4,2023,Q4 2023
32,AMD Ryzen 3 2200U,58,0,45.1,56.3,203,0,72,,2018-05-16 18:42:51.754560,Q2,2018,Q2 2018
33,AMD Ryzen 3 3100,58,0,74.6,74.6,604,0.05,47,,2020-06-04 18:42:51.754560,Q2,2020,Q2 2020
34,AMD Ryzen 5 5600H,58,0,73,69,655,0.14,36,,2021-04-30 18:42:51.754560,Q2,2021,Q2 2021
35,Intel Core i7-3770,58,93.6,69,83,436,0.58,145,79,2012-05-17 18:42:51.754560,Q2,2012,Q2 2012
36,Intel Core i7-5930K,58,0,79.8,87.2,642,0.05,116,,2014-10-04 18:42:51.754560,Q4,2014,Q4 2014
37,AMD Athlon 200GE,58,68,53.5,67,238,0.01,66,100,2018-11-12 18:42:51.754560,Q4,2018,Q4 2018
38,Intel Core i7-11700F,58,0,98.3,85.8,1002,0.45,36,,2021-04-30 18:42:51.754560,Q2,2021,Q2 2021
39,Intel Core i7-11700KF,58,0,102,88.3,1073,0.22,36,,2021-04-30 18:42:51.754560,Q2,2021,Q2 2021
40,Intel Core i5-11600KF,58,0,99.1,88.8,935,0.11,36,,2021-04-30 18:42:51.754560,Q2,2021,Q2 2021
41,AMD Ryzen 7 5700G,58,92.5,87.7,74.7,943,0.23,35,197,2021-05-30 18:42:51.754560,Q2,2021,Q2 2021
42,AMD Ryzen 5 5600,58,0,93.1,81.8,863,0.42,24,,2022-04-25 18:42:51.754560,Q2,2022,Q2 2022
43,AMD Ryzen 9 7900X,58,100,116,81.5,1536,0.17,18,405,2022-10-22 18:42:51.754560,Q4,2022,Q4 2022
44,Intel Core i7-14700KF,58,108,130,86.9,1782,0.41,5,456,2023-11-16 18:42:51.754560,Q4,2023,Q4 2023
45,Intel Core i5-14500,58,110,114,83.6,1353,0.07,4,272,2023-12-16 18:42:51.754560,Q4,2023,Q4 2023
46,Intel Core i3-14100F,58,116,96.9,81.3,856,0.01,2,125,2024-02-14 18:42:51.754560,Q1,2024,Q1 2024
47,AMD Ryzen 7 3700U,57,0,49.4,53.5,377,0.02,60,,2019-05-11 18:42:51.754560,Q2,2019,Q2 2019
48,AMD Ryzen 5 4600H,57,0,70.1,67,634,0.06,47,,2020-06-04 18:42:51.754560,Q2,2020,Q2 2020
49,AMD Ryzen 5 3550H,57,0,53.2,56.5,420,0.07,61,,2019-04-11 18:42:51.754560,Q2,2019,Q2 2019
50,Intel Core i5-1135G7,57,0,68.7,66.8,536,0.76,43,,2020-10-02 18:42:51.754560,Q4,2020,Q4 2020
1,Intel Core i5-4460,57,0,62.1,78.6,281,0.4,119,,2014-07-06 18:42:51.754560,Q3,2014,Q3 2014
2,Intel Core i7-9750H,57,0,73.3,80.9,543,0.84,60,,2019-05-11 18:42:51.754560,Q2,2019,Q2 2019
3,Intel Core i7-11800H,57,0,88,70.7,927,0.83,35,,2021-05-30 18:42:51.754560,Q2,2021,Q2 2021
4,AMD FX-8350,57,0,60.8,81,341,0.08,138,,2012-12-13 18:42:51.754560,Q4,2012,Q4 2012
5,AMD FX-8370,57,0,62.1,81.5,368,0.01,115,,2014-11-03 18:42:51.754560,Q4,2014,Q4 2014
6,AMD FX-6300,57,0,55.2,79.2,217,0.07,138,,2012-12-13 18:42:51.754560,Q4,2012,Q4 2012
7,Intel Core i5-7500,57,85.1,66.8,78.4,337,0.4,87,99,2017-02-20 18:42:51.754560,Q1,2017,Q1 2017
