Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,BX80673I99940X,Intel,Core i9-9940X,176,85.4,1846,https://cpu.userbenchmark.com/SpeedTest/641326/IntelR-CoreTM-i9-9940X-CPU---330GHz
CPU,,Intel,Core i5-10600T,177,85.3,113,https://cpu.userbenchmark.com/SpeedTest/1250930/IntelR-CoreTM-i5-10600T-CPU---240GHz
CPU,BX8070110400F,Intel,Core i5-10400F,178,85.2,153026,https://cpu.userbenchmark.com/Intel-Core-i5-10400F/Rating/4079
CPU,,Intel,Core i7-10700T,179,85.2,1608,https://cpu.userbenchmark.com/SpeedTest/1218230/IntelR-CoreTM-i7-10700T-CPU---200GHz
CPU,,Intel,Core Ultra 5 125H,180,85.1,25,https://cpu.userbenchmark.com/SpeedTest/2226672/IntelR-CoreTM-Ultra-5-125H
CPU,,Intel,Core i7-1260P,181,85.1,4690,https://cpu.userbenchmark.com/SpeedTest/1787416/12th-Gen-IntelR-CoreTM-i7-1260P
CPU,BX8069510900X,Intel,Core i9-10900X,182,85.1,6322,https://cpu.userbenchmark.com/SpeedTest/969950/IntelR-CoreTM-i9-10900X-CPU---370GHz
CPU,BX80658i75775C,Intel,Core i7-5775C,183,84.9,2527,https://cpu.userbenchmark.com/SpeedTest/30276/IntelR-CoreTM-i7-5775C-CPU---330GHz
CPU,BX80673I99960X,Intel,Core i9-9960X,184,84.9,850,https://cpu.userbenchmark.com/SpeedTest/653060/IntelR-CoreTM-i9-9960X-CPU---310GHz
CPU,100-100000281BOX,AMD,Ryzen 5 3600XT,185,84.8,30318,https://cpu.userbenchmark.com/SpeedTest/1211585/AMD-Ryzen-5-3600XT-6-Core-Processor
CPU,BX80684I59400F,Intel,Core i5-9400F,186,84.8,299482,https://cpu.userbenchmark.com/Intel-Core-i5-9400F/Rating/4051
CPU,BX8070110400,Intel,Core i5-10400,187,84.5,71804,https://cpu.userbenchmark.com/Intel-Core-i5-10400/Rating/4073
CPU,,Intel,Core i9-10980HK,188,84.4,7777,https://cpu.userbenchmark.com/SpeedTest/1065893/IntelR-CoreTM-i9-10980HK-CPU---240GHz
CPU,BX80677I77700K,Intel,Core i7-7700K,189,84.2,712312,https://cpu.userbenchmark.com/Intel-Core-i7-7700K/Rating/3647
CPU,BX8070110500,Intel,Core i5-10500,190,84.2,10180,https://cpu.userbenchmark.com/Intel-Core-i5-10500/Rating/4078
CPU,BX8069510980XE,Intel,Core i9-10980XE,191,84.2,4959,https://cpu.userbenchmark.com/SpeedTest/935899/IntelR-CoreTM-i9-10980XE-CPU---300GHz
CPU,BX80677I57640X,Intel,Core i5-7640X,192,84.1,2123,https://cpu.userbenchmark.com/SpeedTest/310543/IntelR-CoreTM-i5-7640X-CPU---400GHz
CPU,100-100000022BOX,AMD,Ryzen 5 3600X,193,84.1,294959,https://cpu.userbenchmark.com/AMD-Ryzen-5-3600X/Rating/4041
CPU,BX80673I99900X,Intel,Core i9-9900X,194,83.7,3521,https://cpu.userbenchmark.com/SpeedTest/639130/IntelR-CoreTM-i9-9900X-CPU---350GHz
CPU,BX80671I76850K,Intel,Core i7-6850K,195,83.6,29279,https://cpu.userbenchmark.com/Intel-Core-i7-6850K/Rating/3606
CPU,,AMD,Ryzen 9 7940HS,196,83.6,1649,https://cpu.userbenchmark.com/SpeedTest/2069169/AMD-Ryzen-9-7940HS-w-Radeon-780M-Graphics
CPU,,AMD,Ryzen 7 7745HX,197,83.4,51,https://cpu.userbenchmark.com/SpeedTest/2100010/AMD-Ryzen-7-7745HX-with-Radeon-Graphics
CPU,BX80673I97940X,Intel,Core i9-7940X,198,83.3,4560,https://cpu.userbenchmark.com/SpeedTest/353078/IntelR-CoreTM-i9-7940X-CPU---310GHz
CPU,,Intel,Core i5-1240P,199,83.2,2059,https://cpu.userbenchmark.com/SpeedTest/1811937/12th-Gen-IntelR-CoreTM-i5-1240P
CPU,BX80673I97960X,Intel,Core i9-7960X,200,83.2,2322,https://cpu.userbenchmark.com/SpeedTest/357952/IntelR-CoreTM-i9-7960X-CPU---280GHz
CPU,100-100000031BOX,AMD,Ryzen 5 3600,201,83.1,1072639,https://cpu.userbenchmark.com/AMD-Ryzen-5-3600/Rating/4040
CPU,BX80673I99980X,Intel,Core i9-9980XE,202,83,2201,https://cpu.userbenchmark.com/SpeedTest/652504/IntelR-CoreTM-i9-9980XE-CPU---300GHz
CPU,,AMD,Ryzen 7 PRO 4750G,203,83,1521,https://cpu.userbenchmark.com/SpeedTest/1232646/AMD-Ryzen-7-PRO-4750G-with-Radeon-Graphics
CPU,BX80673I79800X,Intel,Core i7-9800X,204,82.9,4003,https://cpu.userbenchmark.com/SpeedTest/651256/IntelR-CoreTM-i7-9800X-CPU---380GHz
CPU,CM8068403358708,Intel,Core i5-8600T,205,82.2,375,https://cpu.userbenchmark.com/SpeedTest/506080/IntelR-CoreTM-i5-8600T-CPU---230GHz
CPU,BX8070110105F,Intel,Core i3-10105F,206,82.2,14843,https://cpu.userbenchmark.com/SpeedTest/1482345/IntelR-CoreTM-i3-10105F-CPU---370GHz
CPU,BX80684I58500,Intel,Core i5-8500,207,82.1,43089,https://cpu.userbenchmark.com/SpeedTest/447884/IntelR-CoreTM-i5-8500-CPU---300GHz
CPU,,Intel,Xeon E3-1270 v6,208,81.9,593,https://cpu.userbenchmark.com/SpeedTest/278175/IntelR-XeonR-CPU-E3-1270-v6---380GHz
CPU,BX80673I97900X,Intel,Core i9-7900X,209,81.9,19432,https://cpu.userbenchmark.com/Intel-Core-i9-7900X/Rating/3936
CPU,BX80673I99820X,Intel,Core i9-9820X,210,81.9,2515,https://cpu.userbenchmark.com/SpeedTest/651318/IntelR-CoreTM-i9-9820X-CPU---330GHz
CPU,,Intel,Core i9-9980HK,211,81.8,8965,https://cpu.userbenchmark.com/SpeedTest/797907/IntelR-CoreTM-i9-9980HK-CPU---240GHz
CPU,BX80684I58400,Intel,Core i5-8400,212,81.8,312220,https://cpu.userbenchmark.com/Intel-Core-i5-8400/Rating/3939
CPU,100-1000000158,AMD,Ryzen 5 3500X,213,81.7,33544,https://cpu.userbenchmark.com/AMD-Ryzen-5-3500X/Rating/4052
CPU,BX80684I38350K,Intel,Core i3-8350K,214,81.7,23493,https://cpu.userbenchmark.com/Intel-Core-i3-8350K/Rating/3935
CPU,,Intel,Xeon E3-1245 v6,215,81.6,562,https://cpu.userbenchmark.com/SpeedTest/299743/IntelR-XeonR-CPU-E3-1245-v6---370GHz
CPU,BX80673I97920X,Intel,Core i9-7920X,216,81.6,5430,https://cpu.userbenchmark.com/SpeedTest/278103/IntelR-CoreTM-i9-7920X-CPU---350GHz
CPU,BX80658i55675C,Intel,Core i5-5675C,217,81.5,945,https://cpu.userbenchmark.com/SpeedTest/31828/IntelR-CoreTM-i5-5675C-CPU---310GHz
CPU,,AMD,Ryzen 7 4700G,218,81.3,607,https://cpu.userbenchmark.com/SpeedTest/1135003/AMD-Ryzen-7-4700G-8-Core-Processor
CPU,,Intel,Core i9-10885H,219,81.2,6135,https://cpu.userbenchmark.com/SpeedTest/1174414/IntelR-CoreTM-i9-10885H-CPU---240GHz
CPU,YD295XA8UGAAF,AMD,Ryzen TR 2950X,220,81.1,10169,https://cpu.userbenchmark.com/SpeedTest/569025/AMD-Ryzen-Threadripper-2950X-16-Core-Processor
CPU,BX80671I76800K,Intel,Core i7-6800K,221,80.9,50196,https://cpu.userbenchmark.com/Intel-Core-i7-6800K/Rating/3607
CPU,100-1000000050,AMD,Ryzen 5 3500,222,80.9,16466,https://cpu.userbenchmark.com/AMD-Ryzen-5-3500/Rating/4053
CPU,,Intel,Core i7-1365U,223,80.9,156,https://cpu.userbenchmark.com/SpeedTest/2082316/13th-Gen-IntelR-CoreTM-i7-1365U
CPU,BX80662I76700K,Intel,Core i7-6700K,224,80.8,588978,https://cpu.userbenchmark.com/Intel-Core-i7-6700K/Rating/3502
CPU,YD292XA8AFWOF,AMD,Ryzen TR 2920X,225,80.7,3902,https://cpu.userbenchmark.com/SpeedTest/625966/AMD-Ryzen-Threadripper-2920X-12-Core-Processor
CPU,,Intel,Core i7-5775R,226,80.5,158,https://cpu.userbenchmark.com/SpeedTest/39919/IntelR-CoreTM-i7-5775R-CPU---330GHz
CPU,,Intel,Core i7-8809G,227,80.5,3729,https://cpu.userbenchmark.com/SpeedTest/422264/IntelR-CoreTM-i7-8809G-CPU---310GHz
CPU,BX80648I75960X,Intel,Core i7-5960X,228,80.5,15468,https://cpu.userbenchmark.com/Intel-Core-i7-5960X/Rating/2580
CPU,,Intel,Core i7-5950HQ,229,80.4,172,https://cpu.userbenchmark.com/SpeedTest/29765/IntelR-CoreTM-i7-5950HQ-CPU---290GHz
CPU,BX8070110100F,Intel,Core i3-10100F,230,80.4,39812,https://cpu.userbenchmark.com/Intel-Core-i3-10100F/Rating/4082
CPU,,Intel,Core i5-10500H,231,80.3,12921,https://cpu.userbenchmark.com/SpeedTest/1449890/IntelR-CoreTM-i5-10500H-CPU---250GHz
CPU,,AMD,Ryzen 5 PRO 4650G,232,80.2,5353,https://cpu.userbenchmark.com/SpeedTest/1232634/AMD-Ryzen-5-PRO-4650G-with-Radeon-Graphics
CPU,BX80673I77820X,Intel,Core i7-7820X,233,80.1,28524,https://cpu.userbenchmark.com/Intel-Core-i7-7820X/Rating/3928
CPU,BX80673I97980X,Intel,Core i9-7980XE,234,80.1,4653,https://cpu.userbenchmark.com/SpeedTest/352013/IntelR-CoreTM-i9-7980XE-CPU---260GHz
CPU,,Intel,Core i5-11400H,235,80.1,35470,https://cpu.userbenchmark.com/SpeedTest/1575224/11th-Gen-IntelR-CoreTM-i5-11400H---270GHz
CPU,BX80684I39100F,Intel,Core i3-9100F,236,80.1,34310,https://cpu.userbenchmark.com/Intel-Core-i3-9100F/Rating/4054
CPU,,AMD,Ryzen 7 4800U,237,80.1,2275,https://cpu.userbenchmark.com/SpeedTest/1005639/AMD-Ryzen-7-4800U-with-Radeon-Graphics
CPU,BX80684I38300,Intel,Core i3-8300,238,79.9,2273,https://cpu.userbenchmark.com/SpeedTest/484077/IntelR-CoreTM-i3-8300-CPU---370GHz
CPU,,AMD,Ryzen 9 6900HX,239,79.9,2058,https://cpu.userbenchmark.com/SpeedTest/1792755/AMD-Ryzen-9-6900HX-with-Radeon-Graphics
CPU,BX8070110100,Intel,Core i3-10100,240,79.9,24563,https://cpu.userbenchmark.com/Intel-Core-i3-10100/Rating/4075
CPU,BX80648I75930K,Intel,Core i7-5930K,241,79.8,34039,https://cpu.userbenchmark.com/Intel-Core-i7-5930K/Rating/2578
CPU,100-100000159BOX,AMD,Ryzen 3 3300X,242,79.7,15293,https://cpu.userbenchmark.com/AMD-Ryzen-3-3300X/Rating/4076
CPU,BX80684I39100,Intel,Core i3-9100,243,79.7,7621,https://cpu.userbenchmark.com/SpeedTest/806339/IntelR-CoreTM-i3-9100-CPU---360GHz
CPU,,Intel,Core i7-10850H,244,79.5,6246,https://cpu.userbenchmark.com/SpeedTest/1160496/IntelR-CoreTM-i7-10850H-CPU---270GHz
CPU,,Intel,Xeon E3-1230 v6,245,79.4,474,https://cpu.userbenchmark.com/SpeedTest/268848/IntelR-XeonR-CPU-E3-1230-v6---350GHz
CPU,CM8068403358413,Intel,Core i7-8700T,246,79.4,5592,https://cpu.userbenchmark.com/SpeedTest/480804/IntelR-CoreTM-i7-8700T-CPU---240GHz
CPU,,Intel,Core i5-10400H,247,79.2,625,https://cpu.userbenchmark.com/SpeedTest/1084904/IntelR-CoreTM-i5-10400H-CPU---260GHz
CPU,,AMD,Ryzen 7 7735HS,248,79.1,995,https://cpu.userbenchmark.com/SpeedTest/2011483/AMD-Ryzen-7-7735HS-with-Radeon-Graphics
CPU,,Intel,Core i7-10870H,249,79.1,23498,https://cpu.userbenchmark.com/SpeedTest/1322918/IntelR-CoreTM-i7-10870H-CPU---220GHz
CPU,YD297XAZAFWOF,AMD,Ryzen TR 2970WX,250,79,1966,https://cpu.userbenchmark.com/SpeedTest/626249/AMD-Ryzen-Threadripper-2970WX-24-Core-Processor
CPU,BX80646I74790K,Intel,Core i7-4790K,251,78.9,455746,https://cpu.userbenchmark.com/Intel-Core-i7-4790K/Rating/2384
CPU,CL8068404069006,Intel,Core i9-9880H,252,78.9,11095,https://cpu.userbenchmark.com/SpeedTest/750169/IntelR-CoreTM-i9-9880H-CPU---230GHz
CPU,YD299XAZAFWOF,AMD,Ryzen TR 2990WX,253,78.9,3658,https://cpu.userbenchmark.com/SpeedTest/560423/AMD-Ryzen-Threadripper-2990WX-32-Core-Processor
CPU,,Intel,Core i5-9400H,254,78.9,773,https://cpu.userbenchmark.com/SpeedTest/843530/IntelR-CoreTM-i5-9400H-CPU---250GHz
CPU,,Intel,Core i7-10875H,255,78.8,35361,https://cpu.userbenchmark.com/SpeedTest/1111393/IntelR-CoreTM-i7-10875H-CPU---230GHz
CPU,,Intel,Core i3-10300T,256,78.6,25,https://cpu.userbenchmark.com/SpeedTest/1290166/IntelR-CoreTM-i3-10300T-CPU---300GHz
CPU,BX80633I74960X,Intel,Core i7-4960X,257,78.4,5121,https://cpu.userbenchmark.com/Intel-Core-i7-4960X/Rating/1977
CPU,,AMD,Ryzen 7 6800H,258,78.3,6532,https://cpu.userbenchmark.com/SpeedTest/1786492/AMD-Ryzen-7-6800H-with-Radeon-Graphics
CPU,,AMD,Ryzen 9 5900HX,259,78.2,12809,https://cpu.userbenchmark.com/SpeedTest/1449683/AMD-Ryzen-9-5900HX-with-Radeon-Graphics
CPU,,Intel,Core i5-10500T,260,78.2,1923,https://cpu.userbenchmark.com/SpeedTest/1204939/IntelR-CoreTM-i5-10500T-CPU---230GHz
CPU,,AMD,Ryzen 5 4600G,261,78.1,2405,https://cpu.userbenchmark.com/SpeedTest/1344633/AMD-Ryzen-5-4600G-with-Radeon-Graphics
CPU,,Intel,Core i5-10400T,262,78.1,1246,https://cpu.userbenchmark.com/SpeedTest/1189479/IntelR-CoreTM-i5-10400T-CPU---200GHz
CPU,,Intel,Xeon E3-1286 v3,263,78.1,33,https://cpu.userbenchmark.com/SpeedTest/33047/IntelR-XeonR-CPU-E3-1286-v3---370GHz
CPU,,Intel,Core i7-11375H,264,78,890,https://cpu.userbenchmark.com/SpeedTest/1462657/11th-Gen-IntelR-CoreTM-i7-11375H---330GHz
CPU,,AMD,Ryzen 9 5980HS,265,78,147,https://cpu.userbenchmark.com/SpeedTest/1493102/AMD-Ryzen-9-5980HS-with-Radeon-Graphics
CPU,,Intel,Core i7-3970X,266,77.9,2677,https://cpu.userbenchmark.com/SpeedTest/6794/IntelR-CoreTM-i7-3970X-CPU---350GHz
CPU,BX80673I77800X,Intel,Core i7-7800X,267,77.9,22334,https://cpu.userbenchmark.com/SpeedTest/304816/IntelR-CoreTM-i7-7800X-CPU---350GHz
CPU,,Intel,Core i7-5850HQ,268,77.8,55,https://cpu.userbenchmark.com/SpeedTest/35099/IntelR-CoreTM-i7-5850HQ-CPU---270GHz
CPU,FH8067703417418,Intel,Core i7-8706G,269,77.7,211,https://cpu.userbenchmark.com/SpeedTest/518066/IntelR-CoreTM-i7-8706G-CPU---310GHz
CPU,BX80619I73960X,Intel,Core i7-3960X,270,77.7,2165,https://cpu.userbenchmark.com/Intel-Core-i7-3960X/Rating/1973
CPU,,Intel,Core i7 X 990,271,77.7,4994,https://cpu.userbenchmark.com/SpeedTest/2590/IntelR-CoreTM-i7-CPU-------X-990----347GHz
CPU,YD192XA8AEWOF,AMD,Ryzen TR 1920X,272,77.6,10440,https://cpu.userbenchmark.com/AMD-Ryzen-TR-1920X/Rating/3934
CPU,FH8068403419332,Intel,Core i7-8559U,273,77.5,2379,https://cpu.userbenchmark.com/SpeedTest/543591/IntelR-CoreTM-i7-8559U-CPU---270GHz
CPU,,Intel,Core i3-10100T,274,77.2,423,https://cpu.userbenchmark.com/SpeedTest/1260090/IntelR-CoreTM-i3-10100T-CPU---300GHz
CPU,,Intel,Xeon E3-1275 v3,275,77.2,384,https://cpu.userbenchmark.com/SpeedTest/5652/IntelR-XeonR-CPU-E3-1275-v3---350GHz
CPU,BX80646E31276V3,Intel,Xeon E3-1276 v3,276,77.1,297,https://cpu.userbenchmark.com/SpeedTest/25180/IntelR-XeonR-CPU-E3-1276-v3---360GHz
CPU,,Intel,Core i7-9850H,277,77.1,9974,https://cpu.userbenchmark.com/SpeedTest/826055/IntelR-CoreTM-i7-9850H-CPU---260GHz
CPU,100-000000253,AMD,Ryzen 3 5300G,278,77,1231,https://cpu.userbenchmark.com/SpeedTest/1542116/AMD-Ryzen-3-5300G-with-Radeon-Graphics
CPU,BX80633I74930K,Intel,Core i7-4930K,279,76.9,22204,https://cpu.userbenchmark.com/Intel-Core-i7-4930K/Rating/1976
CPU,,Intel,Xeon W3690,280,76.9,4808,https://cpu.userbenchmark.com/SpeedTest/9677/IntelR-XeonR-CPU-----------W3690----347GHz
CPU,BX80648I75820K,Intel,Core i7-5820K,281,76.8,101694,https://cpu.userbenchmark.com/Intel-Core-i7-5820K/Rating/2579
CPU,,Intel,Xeon E5-1650 v3,282,76.8,7962,https://cpu.userbenchmark.com/SpeedTest/16320/IntelR-XeonR-CPU-E5-1650-v3---350GHz
CPU,,Intel,Core i7-10750H,283,76.8,206796,https://cpu.userbenchmark.com/SpeedTest/1053158/IntelR-CoreTM-i7-10750H-CPU---260GHz
CPU,YD195XA8AEWOF,AMD,Ryzen TR 1950X,284,76.7,23641,https://cpu.userbenchmark.com/AMD-Ryzen-TR-1950X/Rating/3932
CPU,,AMD,Ryzen 5 6600H,285,76.7,1386,https://cpu.userbenchmark.com/SpeedTest/1815652/AMD-Ryzen-5-6600H-with-Radeon-Graphics
CPU,,Intel,Xeon E3-1230 v5,286,76.6,2254,https://cpu.userbenchmark.com/SpeedTest/72554/IntelR-XeonR-CPU-E3-1230-v5---340GHz
CPU,CL8068403373614,Intel,Core i5-8400H,287,76.6,1303,https://cpu.userbenchmark.com/SpeedTest/524256/IntelR-CoreTM-i5-8400H-CPU---250GHz
CPU,YD190XA8AEWOF,AMD,Ryzen TR 1900X,288,76.3,7071,https://cpu.userbenchmark.com/SpeedTest/340638/AMD-Ryzen-Threadripper-1900X-8-Core-Processor
CPU,BX80677I77700,Intel,Core i7-7700,289,76.2,256717,https://cpu.userbenchmark.com/Intel-Core-i7-7700/Rating/3887
CPU,,Intel,Core i5-1335U,290,76.1,1345,https://cpu.userbenchmark.com/SpeedTest/2065642/13th-Gen-IntelR-CoreTM-i5-1335U
CPU,,Intel,Xeon E5-1650 v2,291,76,10921,https://cpu.userbenchmark.com/SpeedTest/7574/IntelR-XeonR-CPU-E5-1650-v2---350GHz
CPU,,Intel,Core i7 X 980,292,76,8133,https://cpu.userbenchmark.com/SpeedTest/1822/IntelR-CoreTM-i7-CPU-------X-980----333GHz
CPU,,Intel,Xeon E3-1271 v3,293,75.9,1699,https://cpu.userbenchmark.com/SpeedTest/17463/IntelR-XeonR-CPU-E3-1271-v3---360GHz
CPU,,AMD,Ryzen 9 5900HS,294,75.9,6069,https://cpu.userbenchmark.com/SpeedTest/1452199/AMD-Ryzen-9-5900HS-with-Radeon-Graphics
CPU,,AMD,Ryzen 9 6900HS,295,75.8,2639,https://cpu.userbenchmark.com/SpeedTest/1796538/AMD-Ryzen-9-6900HS-with-Radeon-Graphics
CPU,,Intel,Core i7-1355U,296,75.8,1220,https://cpu.userbenchmark.com/SpeedTest/2070236/13th-Gen-IntelR-CoreTM-i7-1355U
CPU,BX80677I57600K,Intel,Core i5-7600K,297,75.8,195006,https://cpu.userbenchmark.com/Intel-Core-i5-7600K/Rating/3885
CPU,YD270XBGAFBOX,AMD,Ryzen 7 2700X,298,75.7,159077,https://cpu.userbenchmark.com/AMD-Ryzen-7-2700X/Rating/3958
CPU,,AMD,Ryzen 5 4500,299,75.5,1171,https://cpu.userbenchmark.com/SpeedTest/1828229/AMD-Ryzen-5-4500-6-Core-Processor
CPU,,Intel,Xeon W3680,300,75.3,6658,https://cpu.userbenchmark.com/SpeedTest/12335/IntelR-XeonR-CPU-----------W3680----333GHz
CPU,,Intel,Xeon E3-1270 v3,301,75.2,1918,https://cpu.userbenchmark.com/SpeedTest/11395/IntelR-XeonR-CPU-E3-1270-v3---350GHz
CPU,,Intel,Core i7 980,302,75.2,2215,https://cpu.userbenchmark.com/SpeedTest/3336/IntelR-CoreTM-i7-CPU---------980----333GHz
CPU,100-000000083,AMD,Ryzen 7 4700U,303,75.2,19248,https://cpu.userbenchmark.com/SpeedTest/1105478/AMD-Ryzen-7-4700U-with-Radeon-Graphics
CPU,BX80677I57600T,Intel,Core i5-7600T,304,75.1,477,https://cpu.userbenchmark.com/SpeedTest/246226/IntelR-CoreTM-i5-7600T-CPU---280GHz
CPU,,AMD,Ryzen 7 5800H,305,75,19785,https://cpu.userbenchmark.com/SpeedTest/1442974/AMD-Ryzen-7-5800H-with-Radeon-Graphics
CPU,BX80701G6600,Intel,Pentium Gold G6600,306,75,44,https://cpu.userbenchmark.com/SpeedTest/1454523/IntelR-PentiumR-Gold-G6600-CPU---420GHz
CPU,,Intel,Xeon X5690,307,74.7,4873,https://cpu.userbenchmark.com/SpeedTest/16752/IntelR-XeonR-CPU-----------X5690----347GHz
CPU,100-000000105,AMD,Ryzen 5 4600U,308,74.7,554,https://cpu.userbenchmark.com/SpeedTest/1152158/AMD-Ryzen-5-4600U-with-Radeon-Graphics
CPU,CM8068403358913,Intel,Core i5-8400T,309,74.7,4624,https://cpu.userbenchmark.com/SpeedTest/475176/IntelR-CoreTM-i5-8400T-CPU---170GHz
CPU,,AMD,Ryzen 5 7640HS,310,74.6,197,https://cpu.userbenchmark.com/SpeedTest/2119236/AMD-Ryzen-5-7640HS-w-Radeon-760M-Graphics
CPU,100-100000284BOX,AMD,Ryzen 3 3100,311,74.6,50446,https://cpu.userbenchmark.com/SpeedTest/1148404/AMD-Ryzen-3-3100-4-Core-Processor
CPU,BX80646E31241V3,Intel,Xeon E3-1241 v3,312,74.5,3580,https://cpu.userbenchmark.com/SpeedTest/15164/IntelR-XeonR-CPU-E3-1241-v3---350GHz
CPU,CL8068403805708,Intel,Core i9-8950HK,313,74.5,14729,https://cpu.userbenchmark.com/SpeedTest/486215/IntelR-CoreTM-i9-8950HK-CPU---290GHz
CPU,BX80619I73930K,Intel,Core i7-3930K,314,74.4,33172,https://cpu.userbenchmark.com/Intel-Core-i7-3930K/Rating/1487
CPU,,Intel,Core i5-10300H,315,74.3,82821,https://cpu.userbenchmark.com/SpeedTest/1027882/IntelR-CoreTM-i5-10300H-CPU---250GHz
CPU,,AMD,Ryzen 9 4900H,316,74.3,1531,https://cpu.userbenchmark.com/SpeedTest/1185620/AMD-Ryzen-9-4900H-with-Radeon-Graphics
CPU,,Intel,Core i5-8279U,317,74.2,740,https://cpu.userbenchmark.com/SpeedTest/807756/IntelR-CoreTM-i5-8279U-CPU---240GHz
CPU,,Intel,Xeon E3-1275 V2,318,74.2,461,https://cpu.userbenchmark.com/SpeedTest/4507/IntelR-XeonR-CPU-E3-1275-V2---350GHz
CPU,,Intel,Xeon E5-2687W 0,319,74.2,868,https://cpu.userbenchmark.com/SpeedTest/8860/IntelR-XeonR-CPU-E5-2687W-0---310GHz
CPU,YD260XBCAFBOX,AMD,Ryzen 5 2600X,320,74,142983,https://cpu.userbenchmark.com/AMD-Ryzen-5-2600X/Rating/3956
CPU,,AMD,Ryzen 7 6800HS,321,74,938,https://cpu.userbenchmark.com/SpeedTest/1800947/AMD-Ryzen-7-6800HS-with-Radeon-Graphics
CPU,,Intel,Core i7-11370H,322,74,12227,https://cpu.userbenchmark.com/SpeedTest/1444990/11th-Gen-IntelR-CoreTM-i7-11370H---330GHz
CPU,100-000000098,AMD,Ryzen 7 4800H,323,73.9,20504,https://cpu.userbenchmark.com/SpeedTest/1032976/AMD-Ryzen-7-4800H-with-Radeon-Graphics
CPU,,Intel,Core i5-2550K,324,73.9,2925,https://cpu.userbenchmark.com/SpeedTest/5474/IntelR-CoreTM-i5-2550K-CPU---340GHz
CPU,YD2700BBAFBOX,AMD,Ryzen 7 2700,325,73.8,123820,https://cpu.userbenchmark.com/AMD-Ryzen-7-2700/Rating/3957
CPU,YD160XBCAEWOF,AMD,Ryzen 5 1600X,326,73.7,140440,https://cpu.userbenchmark.com/AMD-Ryzen-5-1600X/Rating/3920
CPU,BX80646I74770K,Intel,Core i7-4770K,327,73.6,172887,https://cpu.userbenchmark.com/Intel-Core-i7-4770K/Rating/1537
CPU,BX80646I74771,Intel,Core i7-4771,328,73.5,11180,https://cpu.userbenchmark.com/Intel-Core-i7-4771/Rating/2008
CPU,,Intel,Xeon E3-1220 v5,329,73.4,1202,https://cpu.userbenchmark.com/SpeedTest/139116/IntelR-XeonR-CPU-E3-1220-v5---300GHz
CPU,,Intel,Core i7 970,330,73.4,4313,https://cpu.userbenchmark.com/SpeedTest/8374/IntelR-CoreTM-i7-CPU---------970----320GHz
CPU,YD2600BBAFBOX,AMD,Ryzen 5 2600,331,73.3,179588,https://cpu.userbenchmark.com/AMD-Ryzen-5-2600/Rating/3955
CPU,,AMD,Ryzen 3 4100,332,73.3,1048,https://cpu.userbenchmark.com/SpeedTest/1830279/AMD-Ryzen-3-4100-4-Core-Processor
CPU,BX80646E31231V3,Intel,Xeon E3-1231 v3,333,73.3,19313,https://cpu.userbenchmark.com/SpeedTest/11040/IntelR-XeonR-CPU-E3-1231-v3---340GHz
CPU,CL8068404121817,Intel,Core i7-9750H,334,73.3,328182,https://cpu.userbenchmark.com/SpeedTest/766364/IntelR-CoreTM-i7-9750H-CPU---260GHz
CPU,BX80677I37320,Intel,Core i3-7320,335,73.2,423,https://cpu.userbenchmark.com/Intel-Core-i3-7320/Rating/3888
CPU,FH8068403419522,Intel,Core i5-8259U,336,73.1,4608,https://cpu.userbenchmark.com/SpeedTest/543736/IntelR-CoreTM-i5-8259U-CPU---230GHz
CPU,,Intel,Core i5-10200H,337,73.1,5051,https://cpu.userbenchmark.com/SpeedTest/1303113/IntelR-CoreTM-i5-10200H-CPU---240GHz
CPU,BX80646E31246V3,Intel,Xeon E3-1246 v3,338,73,2511,https://cpu.userbenchmark.com/SpeedTest/11023/IntelR-XeonR-CPU-E3-1246-v3---350GHz
CPU,BX80623I72700K,Intel,Core i7-2700K,339,73,20692,https://cpu.userbenchmark.com/Intel-Core-i7-2700K/Rating/1985
CPU,,AMD,Ryzen 5 5600H,340,73,23730,https://cpu.userbenchmark.com/SpeedTest/1522632/AMD-Ryzen-5-5600H-with-Radeon-Graphics
CPU,CM8068403362509,Intel,Core i5-8500T,341,73,5135,https://cpu.userbenchmark.com/SpeedTest/532888/IntelR-CoreTM-i5-8500T-CPU---210GHz
CPU,,Intel,Core i5-8305G,342,72.9,386,https://cpu.userbenchmark.com/SpeedTest/483074/IntelR-CoreTM-i5-8305G-CPU---280GHz
CPU,,AMD,Ryzen 7 5800HS,343,72.9,2861,https://cpu.userbenchmark.com/SpeedTest/1463823/AMD-Ryzen-7-5800HS-with-Radeon-Graphics
CPU,,Intel,Core i5-6600T,344,72.9,1363,https://cpu.userbenchmark.com/SpeedTest/37851/IntelR-CoreTM-i5-6600T-CPU---270GHz
CPU,BX80646E31230V3,Intel,Xeon E3-1230 v3,345,72.8,8137,https://cpu.userbenchmark.com/SpeedTest/2171/IntelR-XeonR-CPU-E3-1230-v3---330GHz
CPU,,Intel,Xeon E3-1270 V2,346,72.7,3610,https://cpu.userbenchmark.com/SpeedTest/11264/IntelR-XeonR-CPU-E3-1270-V2---350GHz
CPU,,Intel,Xeon W3570,347,72.7,423,https://cpu.userbenchmark.com/SpeedTest/12630/IntelR-XeonR-CPU-----------W3570----320GHz
